Payment ID,Service ID,Service Name,Amount,User ID,Status,Created At,Email
9e4a2253-5b02-4b6a-9938-b1e4a249ee5c,classroom_standard,Standard Classroom Plan,100.0,test_user,pending,2025-05-10T19:15:54.161763,test_create_payment@example.com
293c028d-7b00-4d7a-a7d2-b8d61617d7a9,test_service_info,Test Service Info,150.0,test_user_456,pending,2025-05-10T19:15:54.177195,test_payment_info@example.com
ff6d82a8-15f6-45ab-901b-7fcfcc4d4c1b,test_service_update,Test Service Update,100.0,test_user,paid,2025-05-10T19:15:54.195891,test_update_status@example.com
ef610a45-5898-49bf-b77f-cf793598a6f1,TEST008,Test Payment Service 8,450.0,user202,pending,2025-05-10T19:15:54.317614,test_apply@example.com
d8759c7a-ba00-4db3-9287-9c496c863fd9,TEST009,Test Payment Service 9,500.0,user303,pending,2025-05-10T19:15:54.366184,test_download@example.com
3801beda-8fe8-4632-a565-869b5d7d9b23,test_process,Test Process Service,200.0,user_process,paid,2025-05-10T19:15:54.427773,test_process@example.com
73b4dd14-8776-4b8a-b2d2-7bdd54de816b,test_fail,Test Fail Service,150.0,user_fail,failed,2025-05-10T19:15:54.457996,test_fail@example.com
52a402ea-e4f6-4bde-a035-5c77417db1df,test_export_0,Test Export Service 0,100.0,user_export_0,pending,2025-05-10T19:15:54.486708,test_export_0@example.com
042a64de-6120-4dc0-843d-e913dfa68c89,test_export_1,Test Export Service 1,150.0,user_export_1,pending,2025-05-10T19:15:54.498335,test_export_1@example.com
d6f370fe-ba21-403f-b505-dc33664c1d8f,test_export_2,Test Export Service 2,200.0,user_export_2,pending,2025-05-10T19:15:54.507361,test_export_2@example.com
