Payment ID,Service ID,Service Name,Amount,User ID,Status,Created At,Email
8258f8b5-26fa-463f-b75d-b9058f6ee97d,classroom_standard,Standard Classroom Plan,100.0,test_user,pending,2025-05-10T19:17:15.059907,test_create_payment@example.com
1bbe8e3e-c0ff-4818-9e53-9c2cdd8a3ed5,test_service_info,Test Service Info,150.0,test_user_456,pending,2025-05-10T19:17:15.074290,test_payment_info@example.com
ec5a0744-07e8-46fa-8a18-b01b7a7fa8c8,test_service_update,Test Service Update,100.0,test_user,paid,2025-05-10T19:17:15.091309,test_update_status@example.com
b3d10fd3-9ec4-4638-ae59-69705e19bc03,TEST008,Test Payment Service 8,450.0,user202,pending,2025-05-10T19:17:15.192389,test_apply@example.com
4b6257be-aedd-4610-a9fd-0ee71eadf878,TEST009,Test Payment Service 9,500.0,user303,pending,2025-05-10T19:17:15.231591,test_download@example.com
43a7a958-ab1a-4148-8078-caae2c7d33a8,test_process,Test Process Service,200.0,user_process,paid,2025-05-10T19:17:15.281973,test_process@example.com
f6db4ee5-a843-46c4-8e77-fa4a25983fb2,test_fail,Test Fail Service,150.0,user_fail,failed,2025-05-10T19:17:15.305630,test_fail@example.com
42404b2c-4ae2-444b-96a9-8b2f0131ef23,test_export_0,Test Export Service 0,100.0,user_export_0,pending,2025-05-10T19:17:15.328499,test_export_0@example.com
e6574d5a-a8ce-4f1b-af4e-a92bac32c1bd,test_export_1,Test Export Service 1,150.0,user_export_1,pending,2025-05-10T19:17:15.338165,test_export_1@example.com
7b68f0b6-f71a-4afa-aa62-001d58d4c671,test_export_2,Test Export Service 2,200.0,user_export_2,pending,2025-05-10T19:17:15.346727,test_export_2@example.com
